id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
2542,EKCH,large_airport,Copenhagen Kastrup Airport,55.61790085,12.65600014,17,EU,DK,DK-84,Copenhagen,yes,EKCH,CPH,
2543,EKEB,medium_airport,Esbjerg Airport,55.525902,8.5534,97,EU,DK,DK-83,Esbjerg,yes,EKEB,EBJ,
2546,EKKA,medium_airport,Karup Airport,56.29750061,9.124629974,170,EU,DK,DK-82,Karup,yes,EKKA,KRP,
2549,EKOD,medium_airport,Odense Airport,55.47669983,10.33090019,56,EU,DK,DK-83,Odense,yes,EKOD,ODE,
2552,EKRN,medium_airport,Bornholm Airport,55.06330109,14.75959969,52,EU,DK,DK-84,RÃ¸nne,yes,EKRN,RNN,
2553,EKSB,medium_airport,SÃ¸nderborg Airport,54.96440125,9.791729927,24,EU,DK,DK-83,SÃ¸nderborg,yes,EKSB,SGD,
2554,EKSN,medium_airport,Sindal Airport,57.503502,10.2294,92,EU,DK,DK-81,Sindal,yes,EKSN,CNL,
2559,EKVG,medium_airport,VÃ¡gar Airport,62.063256,-7.275782,280,EU,FO,FO-U-A,VÃ¡gar,yes,EKVG,FAE,
2562,EKYT,medium_airport,Aalborg Airport,57.092759,9.849243,10,EU,DK,DK-81,Aalborg,yes,EKYT,AAL,
2563,ELLX,large_airport,Luxembourg-Findel International Airport,49.6233333,6.2044444,1234,EU,LU,LU-L,Luxembourg,yes,ELLX,LUX,
2564,ENAL,medium_airport,"Ã…lesund Airport, Vigra",62.5625,6.1197,69,EU,NO,NO-15,Ã…lesund,yes,ENAL,AES,
2565,ENAN,medium_airport,"AndÃ¸ya Airport, Andenes",69.292503,16.144199,43,EU,NO,NO-18,Andenes,yes,ENAN,ANX,
2566,ENAT,medium_airport,Alta Airport,69.97609711,23.37170029,9,EU,NO,NO-54,Alta,yes,ENAT,ALF,
29254,ENBL,small_airport,"FÃ¸rde Airport, Bringeland",61.391102,5.75694,1046,EU,NO,NO-46,FÃ¸rde,yes,ENBL,FDE,
2568,ENBN,medium_airport,"BrÃ¸nnÃ¸ysund Airport, BrÃ¸nnÃ¸y",65.461098,12.2175,25,EU,NO,NO-18,BrÃ¸nnÃ¸y,yes,ENBN,BNN,
2569,ENBO,medium_airport,BodÃ¸ Airport,67.269203,14.3653,42,EU,NO,NO-18,BodÃ¸,yes,ENBO,BOO,
2570,ENBR,large_airport,"Bergen Airport, Flesland",60.2934,5.21814,170,EU,NO,NO-46,Bergen,yes,ENBR,BGO,
2571,ENBS,medium_airport,BÃ¥tsfjord Airport,70.60050201,29.69140053,490,EU,NO,NO-54,BÃ¥tsfjord,yes,ENBS,BJF,
29255,ENBV,medium_airport,BerlevÃ¥g Airport,70.871399,29.034201,42,EU,NO,NO-54,BerlevÃ¥g,yes,ENBV,BVG,
2572,ENCN,medium_airport,"Kristiansand Airport, Kjevik",58.204201,8.08537,57,EU,NO,NO-42,Kjevik,yes,ENCN,KRS,
2574,ENDU,medium_airport,Bardufoss Airport,69.05580139,18.54039955,252,EU,NO,NO-54,MÃ¥lselv,yes,ENDU,BDU,
2575,ENEV,medium_airport,"Harstad/Narvik Airport, Evenes",68.49130249,16.67810059,84,EU,NO,NO-18,Evenes,yes,ENEV,EVE,
2577,ENFL,medium_airport,FlorÃ¸ Airport,61.58359909,5.024720192,37,EU,NO,NO-46,FlorÃ¸,yes,ENFL,FRO,
2578,ENGM,large_airport,"Oslo Airport, Gardermoen",60.193901,11.1004,681,EU,NO,NO-30,Oslo,yes,ENGM,OSL,
2579,ENHD,medium_airport,"Haugesund Airport, KarmÃ¸y",59.345299,5.20836,86,EU,NO,NO-11,KarmÃ¸y,yes,ENHD,HAU,
28115,ENHF,medium_airport,Hammerfest Airport,70.67970276,23.66860008,266,EU,NO,NO-54,Hammerfest,yes,ENHF,HFT,
2580,ENHK,small_airport,Hasvik Airport,70.48670197,22.13969994,21,EU,NO,NO-54,Hasvik,yes,ENHK,HAA,
29261,ENHV,medium_airport,"HonningsvÃ¥g Airport, Valan",71.009697,25.983601,44,EU,NO,NO-54,HonningsvÃ¥g,yes,ENHV,HVG,
2581,ENKB,medium_airport,"Kristiansund Airport, Kvernberget",63.111801,7.82452,204,EU,NO,NO-15,Kvernberget,yes,ENKB,KSU,
